IATA,Total passengers,Airport,City,Country
ATL,75704760,Hartsfield Jackson Atlanta International Airport,Atlanta,United States
DFW,62465756,Dallas Fort Worth International Airport,Dallas-Fort Worth,United States
DEN,58828552,Denver International Airport,Denver,United States
ORD,54020399,Chicago O'Hare International Airport,Chicago,United States
LAX,48007284,Los Angeles International Airport,Los Angeles,United States
CLT,43302230,Charlotte Douglas International Airport,Charlotte,United States
MCO,40351068,Orlando International Airport,Orlando,United States
CAN,40249679,Guangzhou Baiyun International Airport,Guangzhou,China
CTU,40117496,Chengdu Shuangliu International Airport,Chengdu,China
LAS,39710493,McCarran International Airport,Las Vegas,United States
PHX,38846713,Phoenix Sky Harbor International Airport,Phoenix,United States
MIA,37302456,Miami International Airport,Miami,United States
DEL,37139957,Indira Gandhi International Airport,Delhi,India
IST,36988563,Istanbul Airport,Istanbul,Turkey
SZX,36358185,Shenzhen Bao'an International Airport,Shenzhen,China
SEA,36154015,Seattle Tacoma International Airport,Seattle,United States
MEX,36056614,Licenciado Benito Juarez International Airport,Mexico City,Mexico
CKG,35766284,Chongqing Jiangbei International Airport,Chongqing,China
SHA,33207337,Shanghai Hongqiao International Airport,Shanghai,China
PEK,32639013,Beijing Capital International Airport,Beijing,China
KMG,32221195,Kunming Changshui International Airport,Kunming,China
PVG,32206814,Shanghai Pudong International Airport,Shanghai,China
IAH,31866308,George Bush Intercontinental Houston Airport,Houston,United States
CGK,31000000,Soekarno-Hatta International Airport,Jakarta,Indonesia
SVO,30943456,Sheremetyevo International Airport,Moscow,Russia
JFK,30788322,John F Kennedy International Airport,New York,United States
XIY,30173312,Xi'an Xianyang International Airport,Xi'an,China
DXB,29110609,Dubai International Airport,Dubai,United Arab Emirates
EWR,29049552,Newark Liberty International Airport,Newark,United States
HGH,28163820,Hangzhou Xiaoshan International Airport,Hangzhou,China
FLL,28076808,Fort Lauderdale Hollywood International Airport,Fort Lauderdale,United States
CDG,26201698,Charles de Gaulle International Airport,Paris,France
HND,25876429,Tokyo Haneda International Airport,Tokyo,Japan
CJU,25802550,Jeju International Airport,Cheju,South Korea
AMS,25500000,Amsterdam Airport Schiphol,Amsterdam,Netherlands
DME,25065087,Domodedovo International Airport,Moscow,Russia
PKX,25051012,Beijing Daxing International Airport,Beijing,China
SAW,24991916,Sabiha Gökçen International Airport,Istanbul,Turkey
FRA,24812849,Frankfurt am Main Airport,Frankfurt,Germany
MSP,24429003,Minneapolis-St Paul International/Wold-Chamberlain Airport,Minneapolis,United States
SFO,24343627,San Francisco International Airport,San Francisco,United States
GRU,24164330,Guarulhos - Governador André Franco Montoro International Airport,Sao Paulo,Brazil
MAD,24121535,Adolfo Suárez Madrid–Barajas Airport,Madrid,Spain
DTW,23610765,Detroit Metropolitan Wayne County Airport,Detroit,United States
BOS,22695835,General Edward Lawrence Logan International Airport,Boston,United States
GMP,22525417,Gimpo International Airport,Seoul,South Korea
CUN,22393906,Cancún International Airport,Cancun,Mexico
SLC,22383878,Salt Lake City International Airport,Salt Lake City,United States
AYT,22012298,Antalya International Airport,Antalya,Turkey
CSX,19983064,Changsha Huanghua International Airport,Changcha,China
