Airline,Airline_ID,Source_airport,Source_airport_ID,Dest_airport,Dest_airport_ID,Codeshare,Stops,Equipment
2B,410,DME,4029,KZN,2990,,0,CR2
2B,410,DME,4029,NBC,6969,,0,CR2
2B,410,DME,4029,TGK,\N,,0,CR2
2B,410,DME,4029,UUA,6160,,0,CR2
2B,410,KZN,2990,DME,4029,,0,CR2
2B,410,NBC,6969,DME,4029,,0,CR2
2B,410,TGK,\N,DME,4029,,0,CR2
2B,410,UUA,6160,DME,4029,,0,CR2
2Z,1729,CAC,2535,GRU,2564,,0,AT7
2Z,1729,DOU,7380,GRU,2564,,0,AT7
2Z,1729,GRU,2564,CAC,2535,,0,AT7
2Z,1729,GRU,2564,DOU,7380,,0,AT7
2Z,1729,GRU,2564,RAO,2613,,0,AT7
2Z,1729,GRU,2564,UBA,2635,,0,AT7
2Z,1729,GRU,2564,UDI,2633,,0,AT7
2Z,1729,GRU,2564,VDC,6039,,0,AT7
2Z,1729,RAO,2613,GRU,2564,,0,AT7
2Z,1729,UBA,2635,GRU,2564,,0,AT7
2Z,1729,UDI,2633,GRU,2564,,0,AT7
2Z,1729,VDC,6039,GRU,2564,,0,AT7
3E,10739,BRL,5726,ORD,3830,,0,CNC
3E,10739,DEC,4042,ORD,3830,,0,CNC
3E,10739,ORD,3830,BRL,5726,,0,CNC
3E,10739,ORD,3830,DEC,4042,,0,CNC
3J,5521,JIB,4119,DXB,2188,,0,737
3K,3021,HGH,3386,SIN,3316,,0,320
3K,3021,SIN,3316,HGH,3386,,0,320
3M,20710,ATL,3682,LWB,6958,,0,SF3
3M,20710,ATL,3682,MCN,3754,,0,SF3
3M,20710,ATL,3682,MEI,4335,,0,SF3
3M,20710,ATL,3682,MSL,5756,,0,SF3
3M,20710,ATL,3682,PIB,5759,,0,SF3
3M,20710,ATL,3682,TUP,5773,,0,SF3
3M,20710,BIM,1937,FLL,3533,,0,SF3
3M,20710,ELH,1943,FLL,3533,,0,SF3
3M,20710,EYW,3875,FLL,3533,,0,SF3
3M,20710,FLL,3533,BIM,1937,,0,SF3
3M,20710,FLL,3533,ELH,1943,,0,SF3
3M,20710,FLL,3533,EYW,3875,,0,SF3
3M,20710,FLL,3533,FPO,1948,,0,SF3
3M,20710,FLL,3533,GGT,1941,,0,SF3
3M,20710,FLL,3533,GHB,1944,,0,SF3
3M,20710,FLL,3533,MCO,3878,,0,SF3
3M,20710,FLL,3533,MHH,1930,,0,SF3
3M,20710,FLL,3533,TCB,1934,,0,SF3
3M,20710,FLL,3533,TPA,3646,,0,SF3
3M,20710,FPO,1948,FLL,3533,,0,SF3
3M,20710,GGT,1941,FLL,3533,,0,SF3
3M,20710,GHB,1944,FLL,3533,,0,SF3
3M,20710,GNV,3472,MCO,3878,,0,SF3
3M,20710,LWB,6958,ATL,3682,,0,SF3
3M,20710,MCN,3754,ATL,3682,,0,SF3
3M,20710,MCN,3754,MCO,3878,,0,SF3
3M,20710,MCO,3878,FLL,3533,,0,SF3
3M,20710,MCO,3878,GNV,3472,,0,SF3
3M,20710,MCO,3878,MCN,3754,,0,SF3
3M,20710,MCO,3878,MHH,1930,,0,SF3
3M,20710,MCO,3878,PNS,3564,,0,SF3
3M,20710,MCO,3878,RSW,3793,,0,SF3
3M,20710,MCO,3878,TLH,3698,,0,SF3
3M,20710,MEI,4335,ATL,3682,,0,SF3
3M,20710,MHH,1930,FLL,3533,,0,SF3
3M,20710,MHH,1930,MCO,3878,,0,SF3
3M,20710,MSL,5756,ATL,3682,,0,SF3
3M,20710,PIB,5759,ATL,3682,,0,SF3 
3M,20710,PNS,3564,MCO,3878,,0,SF3
3M,20710,RSW,3793,MCO,3878,,0,SF3
3M,20710,TCB,1934,FLL,3533,,0,SF3
3M,20710,TLH,3698,MCO,3878,,0,SF3
3M,20710,TPA,3646,FLL,3533,,0,SF3
3M,20710,TUP,5773,ATL,3682,,0,SF3 
3O,9818,AMS,580,NDR,5673,,0,320
3O,9818,AMS,580,TNG,1080,,0,320
3O,9818,CMN,1074,SAW,4317,,0,320
3O,9818,NDR,5673,AMS,580,,0,320
3O,9818,SAW,4317,CMN,1074,,0,320
3O,9818,TNG,1080,AMS,580,,0,320
3R,3545,ASF,2966,DME,4029,,0,SU9
3R,3545,BHK,2980,DME,4029,,0,734
3R,3545,DME,4029,ASF,2966,,0,SU9
3R,3545,DME,4029,BHK,2980,,0,734
3R,3545,DME,4029,EGO,6156,,0,SU9
3R,3545,DME,4029,FEG,6149,,0,734
3R,3545,DME,4029,KSQ,6153,,0,734
3R,3545,DME,4029,NMA,6150,,0,734
3R,3545,DME,4029,NVI,6485,,0,734
3R,3545,DME,4029,SKD,2981,,0,734
3R,3545,DME,4029,TIV,1743,,0,SU9 73G
3R,3545,EGO,6156,DME,4029,,0,SU9
3R,3545,FEG,6149,DME,4029,,0,734
3R,3545,KSQ,6153,DME,4029,,0,734
3R,3545,NMA,6150,DME,4029,,0,734
3R,3545,NVI,6485,DME,4029,,0,734
3R,3545,SKD,2981,DME,4029,,0,734
